Material Name,Argon
Description,Thermophysical properties of argon at 1 atm pressure.
Reference,lienhard2018
Temperature,Density,Heat Capacity,Dynamic Viscosity,Kinematic Viscosity,Thermal Conductivity,Thermal Diffusivity,Prandtl Number
T,\rho,C_p,\mu,\nu,k,\alpha,Pr
K,kg/m3,J/kg/K,kg/m/s,m2/s,W/m/K,m2/s,None
T,rho,Cp,mu,nu,k,alpha,Pr
150,3.269,527.7,1.2E-05,3.66E-06,0.00939,5.44E-06,0.673
200,2.441,523.7,1.59E-05,6.52E-06,0.01245,9.74E-06,0.669
250,1.95,522.2,1.95E-05,1E-05,0.01527,1.5E-05,0.668
300,1.624,521.5,2.29E-05,1.41E-05,0.01787,2.11E-05,0.667
350,1.391,521.2,2.59E-05,1.86E-05,0.02029,2.8E-05,0.666
400,1.217,520.9,2.88E-05,2.37E-05,0.02256,3.56E-05,0.666
450,1.082,520.8,3.16E-05,2.92E-05,0.0247,4.39E-05,0.666
500,0.9735,520.7,3.42E-05,3.51E-05,0.02675,5.28E-05,0.666
550,0.885,520.6,3.67E-05,4.14E-05,0.0287,6.23E-05,0.665
600,0.8112,520.6,3.91E-05,4.82E-05,0.03057,7.24E-05,0.665
650,0.7488,520.5,4.14E-05,5.52E-05,0.03238,8.31E-05,0.665
700,0.6953,520.5,4.36E-05,6.27E-05,0.03412,9.43E-05,0.665
