Material Name,Nitrogen
Description,Thermophysical properties of nitrogen at 1 atm pressure.
Reference,lienhard2018
Temperature,Density,Heat Capacity,Dynamic Viscosity,Kinematic Viscosity,Thermal Conductivity,Thermal Diffusivity,Prandtl Number
T,\rho,C_p,\mu,\nu,k,\alpha,Pr
K,kg/m3,J/kg/K,kg/m/s,m2/s,W/m/K,m2/s,None
T,rho,Cp,mu,nu,k,alpha,Pr
100,3.484,1072,6.80E-6,1.95E-6,0.00988,0.0265E-4,0.738
200,1.711,1043,12.9E-6,7.54E-6,0.0187,0.105E-4,0.720
300,1.138,1041,18.0E-6,15.8E-6,0.0260,0.219E-4,0.721
400,0.8533,1044,22.2E-6,26.0E-6,0.0326,0.366E-4,0.711
500,0.6826,1055,26.1E-6,38.2E-6,0.0388,0.539E-4,0.709
600,0.5688,1074,29.5E-6,51.9E-6,0.0448,0.733E-4,0.708
700,0.4876,1096,32.8E-6,67.3E-6,0.0508,0.951E-4,0.708
800,0.4266,1120,35.8E-6,83.9E-6,0.0567,1.19E-4,0.707
900,0.3792,1143,38.7E-6,102.0E-6,0.0624,1.44E-4,0.709
1000,0.3413,1165,41.5E-6,122.0E-6,0.0680,1.71E-4,0.711
1100,0.3103,1184,44.2E-6,142.0E-6,0.0735,2.00E-4,0.712
1200,0.2844,1201,46.7E-6,164.0E-6,0.0788,2.31E-4,0.712
1400,0.2438,1229,51.7E-6,212.0E-6,0.0889,2.97E-4,0.715
1600,0.2133,1250,56.3E-6,264.0E-6,0.0984,3.69E-4,0.715
