Material Name,LDAC Slag
Description,Dynamic viscosity of LDAC slags. Based on data in Figure 9.110, page 395 in the reference.
Reference,slagatlas1995
Temperature,FeO Content,P2O5 Content,CaO Content,MnO Content,SiO2 Content,Viscosity
T,y_{FeO},y_{P_2O_5},y_{CaO},y_{MnO},y_{SiO_2},\mu
K,mass fraction,mass fraction,mass fraction,mass fraction,mass fraction,Pa.s
T,FeO,P2O5,CaO,MnO,SiO2,mu
1873.629,5.9,25.2,51.4,5,7,0.2060478
1881.6345,5.9,25.2,51.4,5,7,0.11630889
1888.0383,5.9,25.2,51.4,5,7,0.082964146
1898.9637,5.9,25.2,51.4,5,7,0.058854145
1921.3553,5.9,25.2,51.4,5,7,0.050925386
1951.3102,5.9,25.2,51.4,5,7,0.04131353
1712.4333,15.5,16.2,52,6.6,4.7,0.40022974
1720.5559,15.5,16.2,52,6.6,4.7,0.23682177
1750.3857,15.5,16.2,52,6.6,4.7,0.1155535
1764.0749,15.5,16.2,52,6.6,4.7,0.064984334
1790.7444,15.5,16.2,52,6.6,4.7,0.02945405
1915.6443,15.5,16.2,52,6.6,4.7,0.04131353
1939.5268,15.5,16.2,52,6.6,4.7,0.034339175
1952.2448,15.5,16.2,52,6.6,4.7,0.024052565
1965.5576,15.5,16.2,52,6.6,4.7,0.020100372
1697.7723,34.8,8.5,45,4.6,2.9,0.30115166
1706.4594,34.8,8.5,45,4.6,2.9,0.16307089
1739.3052,34.8,8.5,45,4.6,2.9,0.046999884
1762.8982,34.8,8.5,45,4.6,2.9,0.044257948
1799.5034,34.8,8.5,45,4.6,2.9,0.036411
1822.4862,34.8,8.5,45,4.6,2.9,0.037118822
1860.8949,34.8,8.5,45,4.6,2.9,0.03618879
1884.1855,34.8,8.5,45,4.6,2.9,0.033445114
1918.9653,34.8,8.5,45,4.6,2.9,0.0324942
